EID,GPU Duration (µs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
591,19.00,2340,780,0,780,92,0,1584,0,0,780,408,0
592,20.40,2940,980,0,980,206,2253,1990,0,0,980,70128,0
593,20.60,3786,1262,0,1262,232,2253,2564,0,0,1262,70128,0
594,15.32,2304,768,0,768,92,0,1560,0,0,768,408,0
595,16.72,3486,1162,0,1162,232,2253,2360,0,0,1162,70128,0
596,19.96,3360,1120,0,1120,232,2253,2276,0,0,1120,70128,0
597,20.84,3426,1142,0,1142,232,2253,2320,0,0,1142,70128,0
598,21.12,3288,1096,0,1096,218,2253,2226,0,0,1096,70128,0
599,24.48,3408,1136,0,1136,232,2253,2308,0,0,1136,70128,0
600,18.52,2478,826,0,826,118,880,1678,0,0,826,16510,0
601,17.60,2316,772,0,772,92,0,1568,0,0,772,408,0
602,17.84,3036,1012,0,1012,216,2253,2056,0,0,1012,70128,0
603,13.88,2202,734,0,734,78,0,1490,0,0,734,408,0
604,13.52,2994,998,0,998,212,2253,2028,0,0,998,70128,0
605,16.72,3606,1202,0,1202,232,2253,2442,0,0,1202,70128,0
606,19.32,2874,958,0,958,196,2253,1946,0,0,958,70128,0
607,20.92,3660,1220,0,1220,232,2253,2478,0,0,1220,70128,0
608,20.20,1980,660,0,660,52,0,1340,0,0,660,408,0
609,18.28,2532,844,0,844,132,1186,1714,0,0,844,35408,0
610,17.96,3372,1124,0,1124,232,2253,2284,0,0,1124,70128,0
611,17.72,2700,900,0,900,172,2253,1828,0,0,900,69385,0
612,14.48,2346,782,0,782,92,0,1588,0,0,782,408,0
613,18.64,3480,1160,0,1160,232,2253,2356,0,0,1160,70128,0
614,21.76,4044,1348,0,1348,246,2253,2738,0,0,1348,70128,0
615,21.96,3528,1176,0,1176,232,2253,2388,0,0,1176,70128,0
616,22.24,3630,1210,0,1210,232,2253,2458,0,0,1210,70128,0
617,24.24,2772,924,0,924,172,2253,1876,0,0,924,69385,0
618,17.92,2034,678,0,678,52,0,1376,0,0,678,408,0
619,20.52,3354,1118,0,1118,232,2253,2272,0,0,1118,70128,0
620,20.20,3606,1202,0,1202,232,2253,2442,0,0,1202,70128,0
621,16.88,2478,826,0,826,118,880,1678,0,0,826,16510,0
622,12.80,2382,794,0,794,92,0,1612,0,0,794,408,0
623,15.84,3246,1082,0,1082,218,2253,2198,0,0,1082,70128,0
624,16.84,3852,1284,0,1284,232,2253,2608,0,0,1284,70128,0
625,13.24,1722,574,0,574,40,0,1166,0,0,574,408,0
