C:\Users\siarr\AppData\Local\Temp\RenderDoc\terrain_sandbox_2026.09.09_15.42.27_frame2279.rdc - Frame #2279

 EID  | Event                                                                        | Action #
568   |     - Indirect sub-command[48](<6, 499>)                                     | 335   
569   |     - Indirect sub-command[49](<6, 607>)                                     | 336   
570   |     - Indirect sub-command[50](<6, 415>)                                     | 337   
571   |     - Indirect sub-command[51](<6, 523>)                                     | 338   
572   |     - Indirect sub-command[52](<6, 608>)                                     | 339   
573   |     - Indirect sub-command[53](<6, 382>)                                     | 340   
574   |     - Indirect sub-command[54](<6, 491>)                                     | 341   
575   |     - Indirect sub-command[55](<6, 651>)                                     | 342   
576   |     - Indirect sub-command[56](<6, 389>)                                     | 343   
577   |     - Indirect sub-command[57](<6, 508>)                                     | 344   
578   |     - Indirect sub-command[58](<6, 420>)                                     | 345   
579   |     - Indirect sub-command[59](<6, 565>)                                     | 346   
580   |     - Indirect sub-command[60](<6, 567>)                                     | 347   
581   |     - Indirect sub-command[61](<6, 645>)                                     | 348   
582   |     - Indirect sub-command[62](<6, 501>)                                     | 349   
583   |     - Indirect sub-command[63](<6, 629>)                                     | 350   
584   |     - Indirect sub-command[64](<6, 398>)                                     | 351   
585   |     - Indirect sub-command[65](<6, 513>)                                     | 352   
586   |     - Indirect sub-command[66](<6, 634>)                                     | 353   
587   |     - Indirect sub-command[67](<6, 427>)                                     | 354   
588   |     - Indirect sub-command[68](<6, 507>)                                     | 355   
589   |     - Indirect sub-command[69](<6, 578>)                                     | 356   
590   |     - Indirect sub-command[70](<6, 479>)                                     | 357   
591   |     - Indirect sub-command[71](<6, 390>)                                     | 358   
592   |     - Indirect sub-command[72](<6, 490>)                                     | 359   
593   |     - Indirect sub-command[73](<6, 631>)                                     | 360   
594   |     - Indirect sub-command[74](<6, 384>)                                     | 361   
595   |     - Indirect sub-command[75](<6, 581>)                                     | 362   
596   |     - Indirect sub-command[76](<6, 560>)                                     | 363   
597   |     - Indirect sub-command[77](<6, 571>)                                     | 364   
598   |     - Indirect sub-command[78](<6, 548>)                                     | 365   
599   |     - Indirect sub-command[79](<6, 568>)                                     | 366   
600   |     - Indirect sub-command[80](<6, 413>)                                     | 367   
601   |     - Indirect sub-command[81](<6, 386>)                                     | 368   
602   |     - Indirect sub-command[82](<6, 506>)                                     | 369   
603   |     - Indirect sub-command[83](<6, 367>)                                     | 370   
604   |     - Indirect sub-command[84](<6, 499>)                                     | 371   
605   |     - Indirect sub-command[85](<6, 601>)                                     | 372   
606   |     - Indirect sub-command[86](<6, 479>)                                     | 373   
607   |     - Indirect sub-command[87](<6, 610>)                                     | 374   
608   |     - Indirect sub-command[88](<6, 330>)                                     | 375   
609   |     - Indirect sub-command[89](<6, 422>)                                     | 376   
610   |     - Indirect sub-command[90](<6, 562>)                                     | 377   
611   |     - Indirect sub-command[91](<6, 450>)                                     | 378   
612   |     - Indirect sub-command[92](<6, 391>)                                     | 379   
613   |     - Indirect sub-command[93](<6, 580>)                                     | 380   
614   |     - Indirect sub-command[94](<6, 674>)                                     | 381   
615   |     - Indirect sub-command[95](<6, 588>)                                     | 382   
616   |     - Indirect sub-command[96](<6, 605>)                                     | 383   
617   |     - Indirect sub-command[97](<6, 462>)                                     | 384   
618   |     - Indirect sub-command[98](<6, 339>)                                     | 385   
619   |     - Indirect sub-command[99](<6, 559>)                                     | 386   
620   |     - Indirect sub-command[100](<6, 601>)                                    | 387   
621   |     - Indirect sub-command[101](<6, 413>)                                    | 388   
622   |     - Indirect sub-command[102](<6, 397>)                                    | 389   
623   |     - Indirect sub-command[103](<6, 541>)                                    | 390   
624   |     - Indirect sub-command[104](<6, 642>)                                    | 391   
625   |     - Indirect sub-command[105](<6, 287>)                                    | 392   
626   |     - Indirect sub-command[106](<6, 445>)                                    | 393   
627   |     - Indirect sub-command[107](<6, 295>)                                    | 394   
628   |     - Indirect sub-command[108](<6, 582>)                                    | 395   
629   |     - Indirect sub-command[109](<6, 574>)                                    | 396   
630   |     - Indirect sub-command[110](<6, 622>)                                    | 397   
631   |     - Indirect sub-command[111](<6, 569>)                                    | 398   
632   |     - Indirect sub-command[112](<6, 605>)                                    | 399   
633   |     - Indirect sub-command[113](<6, 476>)                                    | 400   
634   |     - Indirect sub-command[114](<6, 310>)                                    | 401   
635   |     - Indirect sub-command[115](<6, 564>)                                    | 402   
636   |     - Indirect sub-command[116](<6, 616>)                                    | 403   
637   |     - Indirect sub-command[117](<6, 418>)                                    | 404   
638   |     - Indirect sub-command[118](<6, 331>)                                    | 405   
639   |     - Indirect sub-command[119](<6, 485>)                                    | 406   
640   |     - Indirect sub-command[120](<6, 303>)                                    | 407   
641   |     - Indirect sub-command[121](<6, 507>)                                    | 408   
642   |     - Indirect sub-command[122](<6, 639>)                                    | 409   
643   |     - Indirect sub-command[123](<6, 261>)                                    | 410   
644   |     - Indirect sub-command[124](<6, 602>)                                    | 411   
